user_id,signup_time,profile_completion_pct,premium_flag,username,email
1,2025-02-08,81.0,1,USER1,USER1@gmail.com 
2,2025-01-11,53.0,0, user2,user2@yahoo.com
3,2025-03-01,50.0,0,user3@@,user3@yahoo.com
4,2025-02-28,71.0,0,USER4,USER4@mailinator.com
5,2025-02-20,84.0,1,USER5,USER5@company.com
6,2025-01-18,33.0,1,user6*,user6@@gmail.com
7,2025-01-20,89.0,0,user7, user7@gmail.com
8,2025-02-09,33.0,0,user8@@,user8@@yahoo.com
9,2025-01-18,73.0,1,user9,user9@company.com
10,2025-01-14,91.0,0,user10@@,user10@mailinator.com
11,2025-01-25,89.0,0,user11*,user11@@yahoo.com 
12,2025-01-09,30.0,0,usr12, usr12@company.com 
13,2025-02-04,62.0,0, user13,user13@gmail.com
14,2025-02-02,77.0,0,user1471,user1471@mailinator.com
15,2025-01-27,64.0,0,user15*,user15@outlook.com
16,2025-01-14,56.0,0, user16, user16@yahoo.com
17,2025-02-01,81.0,0,user17@@,user17@outlook.com
18,2025-02-12,58.0,0,USER18,USER18@gmail.com
19,2025-02-11,74.0,0,user19*,user19@gmail.com
20,2025-01-11,91.0,0,user20 ,user20@outlook.com
21,2025-02-08,99.0,0, user21,user21@gmail.com
22,2025-01-24,88.0,0,usr22,usr22@company.com
23,2025-02-21,41.0,0,USER23,USER23@hotmail.com 
24,2025-02-28,31.0,0,USER24, USER24@company.com
25,2025-01-02,82.0,0, user25,user25@@mailinator.com
26,2025-02-25,46.0,0,user26 ,user26@company.com
27,2025-02-17,45.0,1,user27@@, user27@mailinator.com 
28,2025-02-28,65.0,0,USER28,USER28@@gmail.com
29,2025-02-10,62.0,0,user29@@,user29@outlook.com 
30,2025-01-25,79.0,1,USER30,USER30@yahoo.com
31,2025-02-26,89.0,0,USER31, USER31@hotmail.com
32,2025-02-28,38.0,0, user32,user32@hotmail.com
33,2025-02-25,62.0,0,user33 ,user33@yahoo.com
34,2025-02-04,54.0,0,user34 ,user34@outlook.com
35,2025-02-05,62.0,0,user35@@,user35@mailinator.com
36,2025-01-07,96.0,0, user36,user36@mailinator.com
37,2025-01-22,59.0,1,USER37,USER37@company.com
38,2025-01-30,57.0,0,user3878,user3878@company.com
39,2025-02-18,46.0,1,user39@@,user39@yahoo.com
40,2025-02-10,66.0,1,usr40,usr40@hotmail.com
41,2025-01-21,61.0,1, user41, user41@mailinator.com
42,2025-02-27,96.0,0,user42@@,user42@mailinator.com
43,2025-01-27,31.0,0,user43 , user43@gmail.com
44,2025-02-11,55.0,1,user44@@,user44@@gmail.com 
45,2025-02-05,74.0,0,user45 ,user45@hotmail.com
46,2025-01-23,44.0,0, user46,user46@gmail.com
47,2025-02-27,92.0,1,user47@@,user47@@company.com 
48,2025-01-06,44.0,0,user48 ,user48@yahoo.com
49,2025-02-13,,0,usr49, usr49@hotmail.com
50,2025-02-24,69.0,0,usr50,usr50@@yahoo.com
51,2025-02-25,92.0,0, user51, user51@yahoo.com 
52,2025-01-23,38.0,0,user52@@, user52@mailinator.com 
53,2025-02-23,77.0,0, user53,user53@mailinator.com
54,2025-01-22,,0,user54*, user54@company.com 
55,2025-01-28,98.0,0,user55*,user55@@outlook.com
56,2025-02-17,68.0,0,user56@@, user56@yahoo.com
57,2025-02-21,39.0,0,usr57,usr57@gmail.com
58,2025-01-16,53.0,1,user58, user58@gmail.com
59,2025-01-24,41.0,0,user5942,user5942@mailinator.com
60,2025-01-03,94.0,1,user6083,user6083@mailinator.com
61,2025-02-15,31.0,0,user61*,user61@company.com
62,2025-01-10,63.0,0,USER62, USER62@hotmail.com
63,2025-01-29,65.0,0,user63*, user63@company.com
64,2025-02-18,65.0,0,usr64,usr64@company.com
65,2025-02-24,42.0,0, user65,user65@company.com
66,2025-01-22,42.0,1,user66, user66@mailinator.com
67,2025-01-09,57.0,1,USER67,USER67@mailinator.com
68,2025-02-04,41.0,0, user68,user68@mailinator.com
69,2025-02-14,82.0,0,user69 ,user69@gmail.com 
70,2025-01-29,47.0,1, user70,user70@hotmail.com
71,2025-01-07,75.0,0,user7151,user7151@hotmail.com
72,2025-01-29,66.0,0,user72,user72@mailinator.com
73,2025-01-07,74.0,0, user73,user73@company.com
74,2025-02-08,48.0,0,user7476,user7476@company.com
75,2025-01-20,90.0,1,USER75,USER75@mailinator.com
76,2025-03-01,54.0,1, user76,user76@mailinator.com
77,2025-02-14,90.0,0,user77@@,user77@@yahoo.com
78,2025-02-04,48.0,1,user78 , user78@yahoo.com
79,2025-01-01,83.0,0,user79,user79@company.com
80,2025-01-16,53.0,0,user80 , user80@hotmail.com
81,2025-03-01,79.0,0,user81,user81@@gmail.com
82,2025-01-09,62.0,0,user82 ,user82@outlook.com 
83,2025-01-06,98.0,0,user83@@, user83@gmail.com
84,2025-01-05,62.0,0,user84@@,user84@company.com 
85,2025-01-25,88.0,1,USER85, USER85@gmail.com 
86,2025-01-21,84.0,1,usr86,usr86@gmail.com
87,2025-01-23,,1,user8783,user8783@yahoo.com
88,2025-01-01,80.0,0,usr88,usr88@company.com
89,2025-01-28,,0,user8943,user8943@outlook.com
90,2025-01-01,83.0,1,user90*,user90@yahoo.com
91,2025-02-06,,0,user91@@,user91@mailinator.com
92,2025-02-19,59.0,0, user92,user92@hotmail.com
93,2025-01-24,59.0,0,user93 ,user93@hotmail.com
94,2025-01-17,46.0,0,usr94, usr94@gmail.com
95,2025-02-12,72.0,0,user95@@, user95@yahoo.com 
96,2025-01-08,33.0,0,USER96,USER96@outlook.com
97,2025-02-01,79.0,0,user97, user97@company.com 
98,2025-01-22,50.0,0,user98@@,user98@company.com
99,2025-01-14,74.0,0,user99@@,user99@@gmail.com
100,2025-01-30,92.0,0,USER100,USER100@mailinator.com
101,2025-02-21,76.0,0,user101,user101@yahoo.com
102,2025-01-02,55.0,0,USER102, USER102@gmail.com
103,2025-02-12,47.0,0,user103 , user103@gmail.com
104,2025-02-08,86.0,1,user104@@,user104@outlook.com 
105,2025-01-20,,0,usr105,usr105@yahoo.com
106,2025-01-22,63.0,0,user10649,user10649@mailinator.com 
107,2025-01-06,81.0,0,usr107,usr107@yahoo.com
108,2025-02-02,82.0,0,usr108,usr108@hotmail.com
109,2025-01-30,53.0,1,user109@@,user109@gmail.com
110,2025-01-31,35.0,0,USER110,USER110@mailinator.com
111,2025-02-25,80.0,1,user111*,user111@outlook.com
112,2025-02-13,,0,user112*,user112@hotmail.com
113,2025-02-16,30.0,0,usr113, usr113@mailinator.com
114,2025-01-13,,0,user114,user114@mailinator.com
115,2025-01-02,42.0,0,USER115,USER115@gmail.com
116,2025-01-11,44.0,0,user116*,user116@mailinator.com
117,2025-02-13,79.0,0,user117 ,user117@@gmail.com 
118,2025-02-09,93.0,0,user118@@,user118@yahoo.com
119,2025-03-01,59.0,1,user119@@,user119@company.com
120,2025-01-04,,0,usr120,usr120@yahoo.com
121,2025-02-07,52.0,0,user121*,user121@yahoo.com
122,2025-02-22,80.0,0, user122,user122@hotmail.com
123,2025-02-21,44.0,1,user123@@,user123@gmail.com
